"EQT HOLDINGS LIMITED","EQT",
"BETASHARES GLOBAL SUSTAINABILITY LEADERS ETF","ETHI",
"GLOBAL X METAL SECURITIES AUSTRALIA LIMITED","ETPMAG",
"EVOLUTION MINING LIMITED","EVN",
"EVT LIMITED","EVT",
"GLOBAL X FANG+ ETF","FANG",
"FLETCHER BUILDING LIMITED","FBU",
"FIDELITY GLOBAL EMERGING MARKETS ACTIVE ETF","FEMX",
"FIREFLY METALS LTD","FFM",
"FLIGHT CENTRE TRAVEL GROUP LIMITED","FLT",
"FORTESCUE LTD","FMG",
"FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED","FPH",
"FLEETPARTNERS GROUP LIMITED","FPR",
"GENERATION DEVELOPMENT GROUP LIMITED","GDG",
"GREATLAND RESOURCES LIMITED","GGP",
"BETASHARES GEARED US EQTY CCY HEDGED COMPLEX ETF","GGUS",
"BARROW HANLEY GLOBAL SHARE ACTIVE ETF","GLOB",
"GENESIS MINERALS LIMITED","GMD",
"GOODMAN GROUP","GMG",
"VANECK GEARED AUSTRALIAN EQUAL WEIGHT COMPLEX ETF","GMVW",
"GRAINCORP LIMITED","GNC",
"GLOBAL X PHYSICAL GOLD STRUCTURED","GOLD",
"GROWTHPOINT PROPERTIES AUSTRALIA","GOZ",
"GPT GROUP","GPT",
"GQG PARTNERS INC.","GQG",
"VANECK MSCI AUSTRALIAN SUSTAINABLE EQUITY ETF","GRNV",
"GENTRACK GROUP LIMITED","GTK",
"GWA GROUP LIMITED.","GWA",
"GUZMAN Y GOMEZ LIMITED","GYG",
"BETASHARES GLOBAL CYBERSECURITY ETF","HACK",
"HOMECO DAILY NEEDS REIT","HDN",
"HELIA GROUP LIMITED","HLI",
"HELLOWORLD TRAVEL LIMITED","HLO",
"HEARTS AND MINDS INVESTMENTS LIMITED","HM1",
"HMC CAPITAL LIMITED","HMC",
"HANSEN TECHNOLOGIES LIMITED","HSN",
"HUB24 LIMITED","HUB",
"HARVEY NORMAN HOLDINGS LIMITED","HVN",
"HYPERION GLOBAL GROWTH COMPANIES FUND - ACTIVE ETF","HYGG",
"ISHARES CORE COMPOSITE BOND ETF","IAF",
"INSURANCE AUSTRALIA GROUP LIMITED","IAG",
"INTEGRAL DIAGNOSTICS LIMITED","IDX",
"IDP EDUCATION LIMITED","IEL",
"ISHARES MSCI EMERGING MARKETS ETF","IEM",
"INFRATIL LIMITED.","IFT",
"IGO LIMITED","IGO",
"INTELLIGENT INVESTOR EQ GROWTH FUND ACTIVE ETF","IIGF",
"ILUKA RESOURCES LIMITED","ILU",
"IMDEX LIMITED","IMD",
"IMRICOR MEDICAL SYSTEMS INC.","IMR",
"INGENIA COMMUNITIES GROUP","INA",
"INGHAMS GROUP LIMITED","ING",
"ISHARES GLOBAL 100 ETF","IOO",
"ISHARES CORE S&P/ASX 200 ETF","IOZ",
"IPH LIMITED","IPH",
"IPERIONX LIMITED","IPX",
"IRESS LIMITED","IRE",
"ISHARES S&P 500 ETF","IVV",
"ISHARES GLOBAL HEALTHCARE ETF","IXJ",
"JB HI-FI LIMITED","JBH",
"JUDO CAPITAL HOLDINGS LIMITED","JDO",
"JPMORGAN EQUITY PREMIUM INCOME ACTIVE ETF","JEPI",
"JAMES HARDIE INDUSTRIES PLC","JHX",
"JUMBO INTERACTIVE LIMITED","JIN",
"JPMORGAN US 100Q EQUITY PREMIUM INCOME ACTIVE ETF","JPEQ",
"KAROON ENERGY LTD","KAR",
"KINGSGATE CONSOLIDATED LIMITED.","KCN",
"KELSIAN GROUP LIMITED","KLS",
"LIFESTYLE COMMUNITIES LIMITED","LIC",
"LENDLEASE GROUP","LLC",
"GLOBAL X ULTRA LONG NASDAQ 100 COMPLEX ETF","LNAS",
"LIGHT & WONDER INC.","LNW",
"LOTUS RESOURCES LIMITED","LOT",
"LOVISA HOLDINGS LIMITED","LOV",
"LOFTUS PEAK GLOBAL DISRUPTION ACTIVE ETF","LPGD",
"L1 LONG SHORT FUND LIMITED","LSF",
"LIONTOWN LIMITED","LTR",
"LYNAS RARE EARTHS LIMITED","LYC",
"MUNRO GLOBAL GROWTH FUND COMPLEX ETF","MAET",
"MA FINANCIAL GROUP LIMITED","MAF",
"MACQUARIE TECHNOLOGY GROUP LIMITED","MAQ",
"MAGELLAN FINANCIAL GROUP LIMITED","MFG",
"MAAS GROUP HOLDINGS LIMITED","MGH",
"MAGELLAN GLOBAL FUND -OPEN CLASS UNITS -ACTIVE ETF","MGOC",
"MIRVAC GROUP","MGR",
"MINERAL RESOURCES LIMITED","MIN",
"MCMILLAN SHAKESPEARE LIMITED","MMS",
"MONADELPHOUS GROUP LIMITED","MND",
"VANECK MORNINGSTAR WIDE MOAT ETF","MOAT",
"MEGAPORT LIMITED","MP1",
"MEDIBANK PRIVATE LIMITED","MPL",
"MACQUARIE CORE AUSTRALIAN EQUITY ACTIVE ETF","MQAE",
"MACQUARIE GROUP LIMITED","MQG",
"MESOBLAST LIMITED","MSB",
"MORNINGSTAR INTERNATIONAL SHARES ACTIVE ETF","MSTR",
"METCASH LIMITED","MTS",
"VANECK AUSTRALIAN EQUAL WEIGHT ETF","MVW",
"MYSTATE LIMITED","MYS",
"MAYNE PHARMA GROUP LIMITED","MYX",
"NATIONAL AUSTRALIA BANK LIMITED","NAB",
"NANOSONICS LIMITED","NAN",
"NICK SCALI LIMITED","NCK",
"BETASHARES NASDAQ 100 ETF","NDQ",
"NINE ENTERTAINMENT CO. HOLDINGS LIMITED","NEC",
"NEWMONT CORPORATION","NEM",
"NEUREN PHARMACEUTICALS LIMITED","NEU",
"NEW HOPE CORPORATION LIMITED","NHC",
"NIB HOLDINGS LIMITED","NHF",
"NORTHERN STAR RESOURCES LTD","NST",
"NUFARM LIMITED","NUF",
"NRW HOLDINGS LIMITED","NWH",
"NETWEALTH GROUP LIMITED","NWL",
"NEWS CORPORATION..","NWS",
"NEXGEN ENERGY (CANADA) LTD","NXG",
"NUIX LIMITED","NXL",
"NEXTDC LIMITED","NXT",
"OMNI BRIDGEWAY LIMITED","OBL",
"ORA BANDA MINING LTD","OBM",
"OBJECTIVE CORPORATION LIMITED","OCL",
"OOH!MEDIA LIMITED","OML",
"ORORA LIMITED","ORA",
"ORIGIN ENERGY LIMITED","ORG",
"ORICA LIMITED","ORI",
"PALADIN ENERGY LTD","PDN",
"PROPEL FUNERAL PARTNERS LIMITED","PFP",
"PLS GROUP LIMITED","PLS",
"PRO MEDICUS LIMITED","PME",
"PREMIER INVESTMENTS LIMITED","PMV",
"PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED","PNI",
"PANTORO GOLD LIMITED","PNR",
"POLYNOVO LIMITED","PNV",
"POLYMETALS RESOURCES LTD","POL",
"PEET LIMITED","PPC",
"PEPPER MONEY LIMITED","PPM",
"PERPETUAL LIMITED","PPT",
"PERENTI LIMITED","PRN",
"PERSEUS MINING LIMITED","PRU",
"PWR HOLDINGS LIMITED","PWH",
"PETER WARREN AUTOMOTIVE HOLDINGS LIMITED","PWR",
"PEXA GROUP LIMITED","PXA",
"PYC THERAPEUTICS LIMITED","PYC",
"QANTAS AIRWAYS LIMITED","QAN",
"QBE INSURANCE GROUP LIMITED","QBE",
"QUALITAS REAL ESTATE INCOME FUND","QRI",
"VANECK MSCI INTERNATIONAL QUALITY ETF","QUAL",
"RACURA ONCOLOGY LTD","RAC",
"RESOLUTION CAP GLOBAL PROP SEC FUND - ACTIVE ETF","RCAP",
"RUSSELL INVESTMENTS HIGH DIVIDEND AUSTRALIAN SHARES ETF","RDV",
"REDOX LIMITED","RDX",
"REA GROUP LTD","REA",
"REGIS HEALTHCARE LIMITED","REG",
"REECE LIMITED","REH",
"RURAL FUNDS GROUP","RFF",
"REGION GROUP","RGN",
"RAMSAY HEALTH CARE LIMITED","RHC",
"RIDLEY CORPORATION LIMITED","RIC",
"RIO TINTO LIMITED","RIO",
"RIVCO AUSTRALIA LTD","RIV",
"RESMED INC","RMD",
"RAMELIUS RESOURCES LIMITED","RMS",
"REGAL PARTNERS LIMITED","RPL",
"REGIS RESOURCES LIMITED","RRL",
"RESOLUTE MINING LIMITED","RSG",
"RELIANCE WORLDWIDE CORPORATION LIMITED","RWC",
"SOUTH32 LIMITED","S32",
"SCENTRE GROUP","SCG",
"STEADFAST GROUP LIMITED","SDF",
"SITEMINDER LIMITED","SDR",
"SEEK LIMITED","SEK",
"GLOBAL X SEMICONDUCTOR ETF","SEMI",
"SANDFIRE RESOURCES LIMITED","SFR",
"SGH LIMITED","SGH",
